Epoch,Total Event,Max,Min,Mean,Std Dev
466,47,8,3,4.700000,1.337494
467,53,6,5,5.300000,0.483046
468,55,7,5,5.500000,0.707107
469,54,8,4,5.400000,1.173788
470,73,13,6,7.300000,2.110819
471,53,7,4,5.300000,0.948683
472,46,8,3,4.600000,1.349897
473,52,7,4,5.200000,0.918937
474,52,8,4,5.200000,1.229273
475,71,8,7,7.100000,0.316228
476,67,12,5,6.700000,2.406011
477,55,9,4,5.500000,1.581139
478,57,7,5,5.700000,0.823273
479,45,5,4,4.500000,0.527046
480,54,6,4,5.400000,0.699206
481,49,6,4,4.900000,0.737865
482,41,6,3,4.100000,0.875595
483,37,5,3,3.700000,0.823273
484,76,9,7,7.600000,0.699206
485,84,12,6,8.400000,2.270585
486,70,10,5,7.000000,1.763834
487,49,5,4,4.900000,0.316228
488,47,6,4,4.700000,0.823273
489,42,5,4,4.200000,0.421637
490,63,7,6,6.300000,0.483046
491,56,8,5,5.600000,0.966092
492,55,9,5,5.500000,1.269296
493,50,5,5,5.000000,0.000000
494,48,7,4,4.800000,1.032796
495,58,7,5,5.800000,0.918937
496,39,5,3,3.900000,0.567646
497,37,5,3,3.700000,0.674949
498,38,6,3,3.800000,0.918937
499,43,6,4,4.300000,0.674949
500,46,7,4,4.600000,1.074968
501,43,6,3,4.300000,0.823273
502,45,7,3,4.500000,1.178511
503,46,6,4,4.600000,0.699206
504,41,6,3,4.100000,0.875595
505,49,7,4,4.900000,0.875595
506,47,6,4,4.700000,0.823273
507,33,5,3,3.300000,0.674949
508,32,4,3,3.200000,0.421637
509,36,5,2,3.600000,0.966092
510,33,4,3,3.300000,0.483046
511,32,4,3,3.200000,0.421637
512,36,4,3,3.600000,0.516398
513,38,7,3,3.800000,1.229273
514,35,6,2,3.500000,1.080123
515,33,4,3,3.300000,0.483046
516,36,4,3,3.600000,0.516398
517,33,5,3,3.300000,0.674949
518,29,5,2,2.900000,0.875595
519,27,3,2,2.700000,0.483046
520,24,3,2,2.400000,0.516398
521,27,4,2,2.700000,0.823273
522,34,4,3,3.400000,0.516398
523,27,4,2,2.700000,0.823273
524,26,4,2,2.600000,0.843274
525,33,4,3,3.300000,0.483046
526,26,4,2,2.600000,0.699206
527,33,4,3,3.300000,0.483046
528,25,5,2,2.500000,0.971825
529,23,4,2,2.300000,0.674949
530,22,4,2,2.200000,0.632456
531,31,4,2,3.100000,0.567646
532,21,3,2,2.100000,0.316228
533,18,2,1,1.800000,0.421637
534,28,4,2,2.800000,0.788811
535,18,3,1,1.800000,0.632456
536,22,3,2,2.200000,0.421637
537,15,2,1,1.500000,0.527046
538,10,1,1,1.000000,0.000000
539,11,2,1,1.100000,0.316228
540,15,2,1,1.500000,0.527046
541,10,1,1,1.000000,0.000000
542,17,3,1,1.700000,0.948683
543,12,3,1,1.200000,0.632456
544,12,3,1,1.200000,0.632456
545,11,2,1,1.100000,0.316228
546,16,5,1,1.600000,1.264911
547,16,3,1,1.600000,0.699206
548,14,3,1,1.400000,0.843274
549,11,2,1,1.100000,0.316228
550,15,2,1,1.500000,0.527046
551,11,2,1,1.100000,0.316228
552,10,1,1,1.000000,0.000000
553,10,1,1,1.000000,0.000000
554,5,1,0,0.500000,0.527046
555,8,1,0,0.800000,0.421637
556,8,1,0,0.800000,0.421637
