Epoch,Total Event,Max,Min,Mean,Std Dev
539,11,2,1,1.1,0.316228
540,15,2,1,1.5,0.527046
541,10,1,1,1,0
542,17,3,1,1.7,0.948683
543,12,3,1,1.2,0.632456
544,12,3,1,1.2,0.632456
545,11,2,1,1.1,0.316228
546,16,5,1,1.6,1.264911
547,16,3,1,1.6,0.699206
548,14,3,1,1.4,0.843274
549,11,2,1,1.1,0.316228
550,15,2,1,1.5,0.527046
551,11,2,1,1.1,0.316228
552,10,1,1,1,0
553,10,1,1,1,0
554,5,1,0,0.5,0.527046
555,8,1,0,0.8,0.421637
556,8,1,0,0.8,0.421637
557,10,1,1,1,0
558,10,1,1,1,0
559,10,1,1,1,0
560,10,1,1,1,0
561,16,3,1,1.6,0.966092
562,10,1,1,1,0
563,10,1,1,1,0
564,10,1,1,1,0
565,10,1,1,1,0
566,9,1,0,0.9,0.316228
567,6,1,0,0.6,0.516398
568,6,1,0,0.6,0.516398
569,5,1,0,0.5,0.527046
570,7,1,0,0.7,0.483046
571,7,1,0,0.7,0.483046
572,6,1,0,0.6,0.516398
573,6,1,0,0.6,0.516398
574,3,1,0,0.3,0.483046
575,3,1,0,0.3,0.483046
576,2,1,0,0.2,0.421637
577,1,1,0,0.1,0.316228
578,1,1,0,0.1,0.316228
